Title,Stars,Review Text
Âttacker, 5 stars ,"Awesome place for purchasing stuff.
Very impressive and friendly staff behaviour."
Mishli Tarik, 4 stars ,"A good place for grocery shopping, since its easily accessible. Although you'll have to go through the mall to go there."
Abida Wajid, 5 stars ,"Very well behaved and well mannered staff, you can get almost everything under one roof"
Maheen Shehryar Siddiqui, 4 stars ,"I love the home appliances section the best at Al-Fatah because they give you their personal company life time guarantee for all the products and also provide repair services for appliances purchased from them.

I also find that they have a …"
Syed Sajjad Ali, 1 star ,"Today I had a very bad experience at al fateh , very bad customer service, i do not recommend shopping from this shop.

Delivery staff is very negligent and has no sense of customer care, if you want to avoid a bad shopping experience and poor after sale service, do not buy from this shop."
Soban Tausif, 5 stars ,"One of the few places in Islamabad where you can get most of your grocery and household items at very reasonable prices.
Many of the imported products not easily available anywhere else can be easily found here as well."
Aadil Ishaq, 5 stars ,Good service and you can find quite competitive prices
Nida Ismail, 4 stars ,"Eye catching place for shopping. You can find Everything you want. Including cloths, furniture, appliances, decorations items and food items."
Muhammad Faisal, 5 stars ,Good departmental stories. All kind of groceries and beauty products are available
Beautiful Over 30, 3 stars ,It's fine when you have no other option in a city like Islamabad. Then you have to purchase whatever they sell if you are in need. Quality of utensils is very compromised. Rest is ok.
Waqas Ahmed, 3 stars ,Little expansive. You find every house hold items under one roof
Dr.Tariq Bangash, 5 stars ,"One of the best Places in Islamabad for going out for shopping. Wast variety of Products. From A Ball Pen Up to Books and All Grocery shopping list are easily Available.
Maintainence of the all Groups of products is very Comprehensively done throughout the working Hours."
sadia ajmal, 1 star ,"I bought two study tables , a blanket and and a cloth stand.  Despatched it with delivery services . To my surprise they didn't send table watch with the table. And upon inquiry all respondents on call were trying to blame the driver who wasn't given that item. Upon my request to  give me number of branch owners or manager they  managed a fake GM named
Nadeem who was also kinda integrity failure . In a nutshell it is not about little thing . It's about honesty and the level of fraud one can do in his capacity. This time they could do this only and next time they would do big if given a  chance"
Sabiha Alavi, 1 star ,I ordered  juicer they said this one is not available the other one which one is more expensive available i said ok send me this one when I used this one not at all worth I spend 7800 for this then I asked shall I return this one and pls send me the one I want they said u can not I spoiled all my money I’m USA citizens this is my Pakistani shops experience
Abdul Munem Khan, 4 stars ,"Al-Fatah is located on the first floor of the Centairus Mall in Islamabad. It is a departmental store. The largest department is of groceries. Next largest is of crockeries and cutleries. However, one can find clothings, make up items, toys, bags and suit cases, electronics items, watches, etc etc in this store.
Majority of their items are imported items, so those are quite expensive.
If you go early in this store and check out before 11 am, you can get up to 10 percent discount."
Hash Nomi, 3 stars ,My experience was good because I need oats which I couldnt find anywhere.. But I found in Al fatah
Sherry Khan, 5 stars ,"Very limited shops in centaurus branch where we can buy groceries and crockery along with electronic appliances at a reasonable price.
The place is spacious and contains mych variety of kids junk food items including chocolates, biscuits, juices and chips etc.
If you go to centaurus and unable to shop from costly brands,perhaps this shop will not let you down.
Do pay a visit to this shop if you need food items.
They also have mobile corner for cell phone lovers."
Shahzaib Shahid, 4 stars ,Crockery items and decoratiOn pieces were gOod .. bUt expensive 🥰
Ajmal Khan, 4 stars ,Very well stocked with professional management. Enjoy high-end grossery shopping.
Khurshid Qureshi, 1 star ,"They have varieties. Good n clean store.
I can afford shopping but I didn't buy anything from there because the prices are too high."
Musab Riaz, 5 stars ,Nice departmental store with premium quality items in reasonable price. Very cooperative staff.
Rana Saqib khan, 5 stars ,Awesome place... Everything under one roof
Ahmed Javed, 4 stars ,It's got good variety for a store in centaurus. Would visit a proper store outside though
Maniha Ali, 5 stars ,A place with international brands. Good place for groceries
Muhammad Irfan, 5 stars ,Good place to buy kids bicycles
Naqash Ali, 5 stars ,"You can find everything within one roof , imported electronic items.
best for groceries and rates are very reasonable."
Masil Rizwan, 3 stars ,Right narrow spaces and aisles but surrounding shops were good.
Ayesha Tassaduq, 5 stars ,"Very well stocked and in addition to groceries one can find home decor, kitchen appliances, clothes, cosmetics and other useful products"
Subhan Ahmad, 1 star ,"Online delivery service not recommended

The mall also has a whatsapp account for online delivery. Ordered stuff about a week ago and still not received yet. I already got my stuff delivered from a far flung city. But their service is too poor to deliver on time.

Update: I finally received my package. One of the items is not what I ordered. Now I have to pay to return the package so they send me back the correct order. Absolutely level of incompetence!"
Fatima Baig, 5 stars ,"Al-Fatah Centaurus is one of the best places to go grocery shopping. It’s great in terms of pricing, variety of products and space."
Farzana Bukhari, 1 star ,Very slow in dealing not satisfied lahore L Fatah has better stander.
sumaira yousaf, 4 stars ,A place where you can find almost everything under one roof but the hind side is that some of the products are overly priced. Overall very good shopping experience.
upwords fordowndays, 4 stars ,Perfume prices as compared to green valley bahria shaheen n dawatson are less.store is conjusted space not like green valley .over all good experience.
haider piracha, 5 stars ,"Apart from the regular grocery stuff, Al-Fateh has a lot of other things to offer.
They have a whole crockery section, and also trolleys. They have also kept gym material for sale like dumbells, and gym electronics like Treadmills and cycle. They also have skim products and cosmetics."
Akhtar Hussain, 5 stars ,"Ideally located, diverse range of items including groceries, purfumeries, utencils, bicycles etc."
Khadija Ahmed, 5 stars ,A little pricy but reliable shopping place.
Kashif Muhammad Qasim, 1 star ,"Way too expensive, they seem out of mind by pricing a simple thing easily available in other markets at 150 and they sell it in 700. Totally INSANE..."
Mohammed Hassan Shafique, 3 stars ,"A nice spacious grocery store where you can find everything your house needs including grocery,crockery,utensils,blankets,electronics just EVERYTHING.The best thing is you can find products of international brands here as well .The prices however are a bit higher then other stores but you will always find original products here(no copy).One thing that dissapoints me is their staff not coperative at all."
Nusrat Jabeen, 5 stars ,"High end shopping mall, fully loaded, imported items. One place for all your needs."
Muhammad awais, 4 stars ,"Big store in Centaurus mall Islamabad.
All necessity available"
Maham Abid, 4 stars ,One place to shop for home things but I feel sometimes there few things are copy or fake do I dnt invest my money on them its upto u people
Shams Ur Rehman, 4 stars ,"Very big store located in Centaurus mall. People can purchesse variety of household items, groceries, toys and garments under one roof."
Ibrar Ahmed, 1 star ,U are just a fake . U had a fake id of tvs .we visited but we were blank after knowing the reality. Go to hell😡😡
sajid malik, 4 stars ,Gud store but Very expensive
Alamraa ismail, 3 stars ,A lot of variety feel good to visit staff is very cooperative
Tour de Pakistan, 5 stars ,Quality products but after sale services not good specially in crockery section
Zahid Bangash, 5 stars ,Located at Centaurus Shopping Mall... It is a wonderful place to shop... You will find so many items of daily use and decoration pieces.... A little expansive but worth it...
Abdul Wahid Mir, 3 stars ,Good variety. The price gap between wholesale market and Alfatah is quite big. They need to look into possibilities to limit their profit margins.
Behroz Rizvi, 5 stars ,"Good economical super store. They only exchange the purchased item, no option of cash back"
Waqas Janjua, 5 stars ,"Best super market in Islamabad for high quality & imported stuff.
Highly recommended."
Masood Niazi, 5 stars ,Great supermarket. I love the watch counter most and perfume varieties are very good. Every brand is available with discounted prices.
Muhammad Ali, 5 stars ,A superstore with all items luckily in cheap price of products in their origin
