Title,Stars,Review Text,reviewSentiment
M Kashi, 5 stars ,Have a good place to clothes and perfumes.,Positive
Arif Majeed Butthvc, 4 stars ,"Remained one of my very few and preferred choices for clothing and perfume purchases.  The quality of stuff is good enough for a longer use.  Prices though are high sometimes but the stuff, designing etc.  counts as well. Staff is helpful and cooperative. Men's Perfumes are my favorite. Good variety of both men,  women and children stitched clothing. Perfumes are also available in variety of fragrance.",Positive
awais qureshi, 4 stars ,It was goood experience but prices were high .,Positive
Mech Tube 389, 5 stars ,May Allah junaid Jamshed Soul Rest in peace,Positive
salman Ahmad, 5 stars ,Good customer service and good verity of shoes and perfume,Positive
Noor Fatima, 5 stars ,Cosmetics are excellent in quality but clothes are good,Positive
Saima Qamar, 4 stars ,Neat and tidy . Courteous staff good value for money,Positive
Sabir Baloch, 5 stars ,"I visited there with mine friend, he purchased perfume I don't remember the exact name of perfume 😂 but it's cool place for shopping especially perfume etc.",Positive
Adnan Ghafoor, 4 stars ,Famous brand with good quality of fabric.,Positive
Rana Muhammad Saud, 5 stars ,Well known brand of traditional dresses in Pakistan. Very good stuff. Murree road branch is located at a main place near Rehmanabad Metro station.,Positive
Mir Imad Ahmed, 5 stars ,It was good. Following proper SOPs for covid prevention. Bought Aroosa perfume for my mother and it was lovely.,Positive
Usman Ahmad, 4 stars ,"Purchased a Kurta and 'Janan' perfume from J.J store from their branch near Commercial Market. I think their products, quality and prices, all are reasonable.",Positive
Bushra Zareen, 5 stars ,It was v spacious and good place to visit,Positive
NBA Studios, 4 stars ,Excellent quality but lil expensive,Neutral
Rameez Qureshi, 5 stars ,A good place to buy and visit good quality suits.,Positive
Click IT, 5 stars ,♥ all due to junaid jamshaid.,Neutral
Mechanical Engineer, 5 stars ,Clothing store in commercial market by J. is good addition here.,Positive
sheroz aziz, 4 stars ,I love junaid jamshed clothes❤,Positive
Jahangir Abbasi, 2 stars ,high pricea rubbish artical,Neutral
Husna Dar, 4 stars ,Its good MashaAllah staff is also responsible and respected...,Positive
Nida Ismail, 4 stars ,"Nice place, variety of collections",Positive
Imran Pervez, 5 stars ,Excellent location. Top class clothes variety and quality. Recommended for purchase,Positive
Ali Asghar, 4 stars ,"Nice shopping experience, good customer care, better cloth wears and even better fragrances",Positive
Sj Hassan, 4 stars ,"Good experience as expected , the staff was well aware of products and had that respect for the brand , treatment was as per expectations",Positive
Zakir Ahmad Zakirin, 5 stars ,Best place for beard oil,Positive
Momina Mujeeb, 5 stars ,"Love there collections .. They have good collection for kids , womens as well as for gents..
Awsome collection of fragranes 😍",Positive
shani sial, 5 stars ,I love j. Fragrance,Positive
Rizwan Sharif, 5 stars ,Excelent,Positive
Norten Joseph, 5 stars ,Junaid jamshed outlet is located in silk center Rawalpindi muree road,Neutral
Kash Rz, 5 stars ,Good place for clothing,Positive
Adam Butt, 5 stars ,Amazing perfumes collection,Positive
Mubashar Ali, 3 stars ,J. Big store,Neutral
Husna Munir, 5 stars ,Amazing outfits,Positive
Udru Speaker, 5 stars ,too much costly,Negative
Waqas Ikhlaq Awan, 5 stars ,The best place for perfumes & clothing,Positive
Raheel Ahmed, 5 stars ,"Nice collection.
Must visit .",Positive
NaDiya Safeer, 5 stars ,It's reasonable place for shopping and staff is cooperative.,Positive
Faisal Shahzad, 3 stars ,Stuff is less qualitative than Bonanza,Neutral
ZEGHAM ABBAS, 5 stars ,Love this place,Positive
Ahsan Hameed, 5 stars ,J. is best store for cloth collection for ladies and men's and also cosmetics and perfumes are available my favt one is 502 wasim akram,Positive
Ali Hanif, 5 stars ,I love perfumes of j.,Positive
Ahmad Mansoor, 1 star ,Best perfumes,Positive
Junaid Durrani, 5 stars ,"Love this brand
Awesome perfumes",Positive
J. official, 5 stars ,Good staff👍,Positive
KHAN PEER JADOON Rafiqi Qadri, 4 stars ,I purchased my and my family dresses,Neutral
rizwan manzoor, 4 stars ,Up-to-date Pakistani dresses especially  women's stuff.prices are slightly highway but quality is very good,Positive
HR Gaming, 5 stars ,Best clothing brand,Positive
Ammar Nehal, 5 stars ,Due to soft and good quality and fresh colors,Positive
mazhar munir, 5 stars ,Nyc,Neutral
asjid reehan, 5 stars ,Nice enviroment,Positive
PAKISTAN ZINDABAD, 3 stars ,Its Good..,Positive
Muhammad Hassaan Herl, 5 stars ,Great fragrances and nice outfits,Positive
faisal saeed, 5 stars ,Our class designing in every item like clothes shoes and fragrance is very good,Positive
Muhammad Toqeer Naqash, 5 stars ,Nice Place,Positive
Kamoly Butt, 2 stars ,This place is well overprised .. just ordinery cloths is triple the price compare to local brands ..,Positive
Syed Shah, 5 stars ,Nice Perfumes,Positive
waheeda bano, 5 stars ,very good,Positive
Leena Ajaz, 5 stars ,Cosmetics are good,Positive
Hasnain Goher, 5 stars ,Good experience,Positive
saima sajid, 5 stars ,Their accessories are so nice and I really like this brand .,Positive
Sarah's Reviews, 5 stars ,Big place,Neutral
Hassan Ur Rehman, 5 stars ,good one,Positive
usman ali, 4 stars ,Near Rehmanabad located in Silk Center they are reasonable quality but charging little higher,Positive
saqib masood, 5 stars ,Loved it,Positive
mansoor amir, 4 stars ,Little bit expensive,Negative
Da Designer, 4 stars ,Good place for shopping. Specially on discount days,Positive
Shahla Aslam, 5 stars ,Love it,Positive
Asghar Muhammad, 5 stars ,Best to buy quality clothes,Positive
maheen sial, 5 stars ,I love j.perfumes,Positive
shaheen akhtar, 5 stars ,A very good point to purchase men's wear both ready made and unstitched. High class stitched.,Positive
bilal ayub, 4 stars ,It was ok same old designs,Positive
Aakash Ahmad, 5 stars ,Best perfume brand,Positive
Rizwan Ul Haq, 4 stars ,Eastern dresses for all of reasonably good quality,Positive
Waseem Sajjad Turi, 5 stars ,So good brand ❤️👍👌,Positive
Saleem Basit, 4 stars ,"A bit pricey, but good quality stuff.",Neutral
minhas sheikh2, 5 stars ,Shoping,Neutral
MOIZ AHMAD, 3 stars ,"Nice boutique
Not much choice as store is small
But yes parking is there
Staff is cooperative.
More emphasis on selling fragrances.",Positive
HVAC solutions & technologies HVACR Pakistan, 5 stars ,Nice fragrance and Stitched clothes,Positive
Jawad Abid, 4 stars ,nice,Positive
Tausif Shamsi, 5 stars ,Yes i love it,Positive
Omar Wain, 4 stars ,"Can improve on customer service, otherwise great place to shop for all.",Positive
Raja Shameer, 5 stars ,One of the best brand in the world i am alwys bought kurtas from j.j,Positive
Wasim Kayani, 5 stars ,"Spacious and very accessible location, just hop off from Metro Bus at Chandni Chowk and it is right next to the stop.",Positive
Sumia Qamar, 3 stars ,It was a nice experience to shop from Junaid Jamshed their fabric quality is nice and colour combinations are great  👌,Positive
Syed Sohaib, 4 stars ,Perfumes are quite impressive and Staff is cooperative and good management,Positive
Danial Manzoor, 5 stars ,"Family friendly environment
Good customer service
Resonable prices",Positive
shuja abbas, 1 star ,The staff is rude. They dont have changing room ..I had to change infront of other people. I am disappointed,Negative
Farhan Maqbool, 5 stars ,Genuine stuff in line with modern fashion,Positive
Riffat Khan, 5 stars ,My favourite place for shopping..,Neutral
Shahab Chaudary, 5 stars ,"A good clothing brand in Pakistan
their kurta's are very nice
and their clogne are nice as well",Positive
Hassan Javed, 4 stars ,Only perfumes for men.,Neutral
Afaq Mehmood, 4 stars ,Nice clothing and fragrances to buy,Positive
khyber zaman, 5 stars ,Great store..nice designs,Positive
Shahzad Zafar, 4 stars ,"Nice clothes, mildly costly, first day of sale is good.",Positive
