Title,Stars,Review Text,reviewSentiment,ContradictReview
Tooba Tanveer, 5 stars ,"Monal is amazing, you don't go there for food but for the views & experience. Food ain't bad though.",Negative, 5 stars  Negative
Kamran Naeem, 1 star ,The arrangements for dinner were poor. Staff behavior was good. View is fabulous but they don't deserve the credit for it.,Positive, 1 star  Positive
Explore Saudi Arabia, 5 stars ,"Its a must place to visit whether you are local or foreigner. The natural beauty of this place is mesmerizing. Whether you come in day or night, summer or winter you will never regret. The only bad thing is that road is dangerous because …",Negative, 5 stars  Negative
UsAmA AhMeD KHAn, 5 stars ,"Too expensive
But isb city view owesome
Maza ajata hy bnday ko",Negative, 5 stars  Negative
Touseef Fatima, 5 stars ,A Must visit place in Islamabad. slightly expensive but real adventure to go there. Be careful to drive.,Negative, 5 stars  Negative
Rizwan Khoso, 1 star ,"I hiked from trail 3 and planned to eat and refresh at Monal. I was not allowed entry as i was wearing shorts. Shorts are against Monal dress code.

If you plan to visit Monal and you are hiking, do hiking in something covering your legs.",Positive, 1 star  Positive
Hafiz Azad, 5 stars ,Very very good place and very very much expensive.... Tea price 300 small pizza 1600 everything is expensive,Negative, 5 stars  Negative
Mustafa Khan, 5 stars ,"Very good experience overall , a place to chill, and definitely a place to hang out with boys or with someone special",Negative, 5 stars  Negative
Mr. Arfan Sana, 1 star ,"Location is good , food taste is ordinary",Positive, 1 star  Positive
Irtifa Irshad, 5 stars ,"No Doubt Monal is such a beautiful place in islamabad when you wish to eat with a perfect view ,
and their service is also on point ,
but the main problem is , it is so much expensive , like i ordered 1 breakfast platter which has 1 paratha , 2 puri , halwa , Alu bhujiya , Chanay , a season juice , coffee/Tea and a cheese omelette (cheese and Olive have bad taste) , and it cost me around 850rs , and its only for 1 person if you want to satiate your full hunger",Negative, 5 stars  Negative
Niqash Ali, 1 star ,Amazing place. The view is absolutely brilliant.,Positive, 1 star  Positive
Mohsina Rafique, 5 stars ,This restaurant offers breath taking view of Islamabad. But to reach this resort is real challange. Parking is big issue. Parking for handicap persons is not adequate. The place is overcrowded. Seating and tables are extremely congested. Wheel chair access to dinning areas is restricted.,Negative, 5 stars  Negative
Farhan Jalil, 5 stars ,Average food. Their COVID SoPs are not up to the mark. Parking is a huge problem . Seems to be a little mismanaged .,Negative, 5 stars  Negative
Abdul Basit Saleem, 1 star ,Nice place and food is excellent staff is welcoming and well behavior,Positive, 1 star  Positive
Intezar Kumbhar, 5 stars ,"Worst service I've had in recent times.
Would have been 5 stars for food and ambience if their manager learn some manners",Negative, 5 stars  Negative
Atif Hassan, 1 star ,Beautiful view of Islamabad from Monal hotel.,Positive, 1 star  Positive
Atif Altaf, 5 stars ,Average taste cold food slow service. They just charging you for the view and hospitality. I never visit them again.,Negative, 5 stars  Negative
Fawad Niazi, 1 star ,Amazing place to have food with a view,Positive, 1 star  Positive
Abdullah Munshi, 5 stars ,Its not hated place ... rather the restaurant is closed on Government orders. Rare chances 9f its opening and maintenance. Wild animals can be seen due to lack of human presence. Only a parking place near mosque was open when I visited it in August first week 2020.,Negative, 5 stars  Negative
Waqar Aley, 5 stars ,"Taste 5/10
Serving 7/10
Expensive
Overrated place",Negative, 5 stars  Negative
Waqar Aley, 5 stars ,"Taste 5/10
Serving 7/10
Expensive
Overrated place",Negative, 5 stars  Negative
Tariq M Ahmed, 1 star ,"It was great run, from zoo to Monal 🏃",Positive, 1 star  Positive
Kazim khan Khattarzz, 5 stars ,"Worst resturant ever taking peoples water bottle away at the gate and want you to buy there’s .
people travel 10km on the mountain and asking them to get rid of there water bottles is ridiculous so That Monal can sell their water
Wen to …",Negative, 5 stars  Negative
